Key,Frequency (Hz),Phase (rad),X,Y
↖︎,8,0,200,800
←,8.6,2.09,200,460
↙︎,9.2,4.19,200,120
↑,9.8,0,540,800
L,10.4,2.09,540,460
↓,11,4.19,540,120
↗︎,11.6,0,880,800
→,12.2,2.09,880,460
↘︎,12.8,4.19,880,120
Drag,13.4,0,1220,800
R,14,2.09,1220,460
+,14.6,0,1560,800
-,15.2,4.19,1560,120
