Key,Frequency (Hz),Phase (rad),X,Y
↖︎,8,0,70,840
←,8.6,2.09,70,644
↙︎,9.2,4.19,70,448
↑,9.8,0,395,840
L,10.4,2.09,395,644
↓,11,4.19,395,448
↗︎,11.6,0,750,840
→,12.2,2.09,750,644
↘︎,12.8,4.19,750,448
Drag,13.4,0,750,252
R,14,2.09,395,252
+,14.6,0,750,56
-,15.2,4.19,70,56
